BinaYasi;Metrekare;OdaSayisi;Kat;Fiyat
28;95;3;3;1175000
0;80;3;0;1575000
35;145;4;2;2650000
28;105;4;5;1360000
0;220;7;5;4850000
18;110;3;3;2000000
23;85;3;4;1250000
0;160;4;4;3750000
23;95;3;0;1100000
35;330;9;5;2900000
28;115;4;4;2300000
35;75;2;2;1300000
35;270;6;5;2350000
7;165;6;5;4000000
35;85;3;5;1000000
7;95;3;0;1600000
7;65;2;1;1320000
23;120;3;5;1650000
7;80;3;1;2200000
28;95;3;3;2300000
35;60;2;4;820000
35;120;3;3;1465000
7;220;7;4;3650000
0;100;4;2;3350000
7;138;3;0;1570000
7;140;4;4;2400000
13;105;3;2;2400000
0;75;3;2;2250000
28;120;3;3;1850000
35;110;3;5;2900000
0;120;4;2;3850000
0;75;3;0;1300000
35;80;3;4;1350000
35;280;6;4;2350000
7;90;3;1;1550000
7;120;4;0;1550000
0;240;7;5;3950000
0;90;3;1;1695000
0;160;5;4;3280000
0;85;3;0;1850000
7;140;5;5;2550000
0;190;6;5;4950000
23;105;3;4;1650000
28;95;3;2;1790000
28;90;3;2;2000000
7;235;6;5;3200000
7;140;4;4;3400000
0;95;3;0;1450000
35;140;4;2;2100000
7;150;5;4;3350000
7;70;2;1;1750000
0;140;4;4;2950000
35;95;3;2;1800000
0;160;5;4;3350000
0;75;2;4;3450000
7;70;3;5;1850000
23;120;3;5;2500000
7;85;3;2;2050000
35;190;4;3;2450000
7;75;3;2;1630000
28;100;3;3;1750000
28;105;4;5;1350000
28;90;3;2;1350000
35;85;3;2;960000
23;60;3;0;870000
0;225;7;5;4320000
0;175;5;5;3850000
23;90;3;1;1400000
35;85;3;3;1650000
0;190;5;5;3875000
0;80;3;4;2850000
0;97;3;2;2850000
18;240;7;4;2650000
7;80;3;1;1950000
0;140;6;4;2850000
0;200;5;4;4150000
18;120;4;0;1500000
35;110;3;2;1750000
35;100;3;4;1895000
18;220;6;5;2600000
28;300;9;5;3000000
35;80;3;3;1400000
23;200;4;4;2450000
7;95;3;2;2050000
0;80;3;0;1380000
35;80;3;5;1250000
35;95;3;1;1100000
23;120;4;3;2600000
7;110;3;5;2820000
0;115;4;1;3150000
13;185;5;4;3850000
23;110;3;2;1620000
7;85;3;2;2050000
13;100;4;2;2500000
35;75;3;2;1050000
23;85;3;3;1840000
28;105;3;5;1100000
35;150;4;3;3350000
0;110;4;2;3525000
0;75;3;0;1310000
7;120;4;2;3300000
28;85;3;2;1200000
7;160;6;4;4750000
18;120;3;3;1900000
35;90;3;2;1950000
